episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
513.0,513.0,513.0,10000.0,0,1,44000,False,4,11,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-02-32,1618138952,28.68776512145996,315.0539507865906,703,285e2a0aa751,172.28.0.2,315.0539507865906,0,11,9a92d_00000,[513.0],[10000],11471.167,348.7,16758.335,238.687,3.953,44000,44000,60.22926829268293,27.200000000000003,0.0,0.30000000000000004,5e-05,3.97994327545166,-0.0576499110320583,4.033113181591034,0.39721674,0.014933407335774973,0.7637569308280945,0.0
513.0,513.0,513.0,10000.0,0,1,48000,False,4,12,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-03-01,1618138981,28.797725677490234,343.8516764640808,703,285e2a0aa751,172.28.0.2,343.8516764640808,0,12,9a92d_00000,[513.0],[10000],11502.069,347.764,16777.891,238.409,3.881,48000,48000,61.34634146341463,27.200000000000003,0.0,0.30000000000000004,5e-05,6.850945860147476,-0.05485000927001238,6.90088178217411,0.2851353,0.01638022394035943,0.7146729696542025,0.0
904.0,904.0,904.0,10000.0,1,1,52000,False,5,13,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-03-30,1618139010,29.09213638305664,372.94381284713745,703,285e2a0aa751,172.28.0.2,372.94381284713745,0,13,9a92d_00000,[904.0],[10000],11604.468,344.695,16801.055,238.08,3.939,52000,52000,60.18333333333334,27.200000000000003,0.0,0.30000000000000004,5e-05,8.798792332410812,-0.04914893739623949,8.843135416507721,0.32880664,0.016019731032429263,0.6481923274695873,0.0
904.0,904.0,904.0,10000.0,0,1,56000,False,5,14,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-03-58,1618139038,28.113500833511353,401.0573136806488,703,285e2a0aa751,172.28.0.2,401.0573136806488,0,14,9a92d_00000,[904.0],[10000],11545.906,346.443,16772.513,238.485,3.811,56000,56000,60.5875,27.2,0.0,0.30000000000000004,5e-05,8.915074080228806,-0.04620581725612283,8.956967294216156,0.26704103,0.01437553740106523,0.5975451916456223,0.0
1206.0,1206.0,1206.0,10000.0,1,1,60000,False,6,15,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-04-28,1618139068,30.137001037597656,431.19431471824646,703,285e2a0aa751,172.28.0.2,431.19431471824646,0,15,9a92d_00000,[1206.0],[10000],11672.038,342.699,16792.171,238.206,3.859,60000,60000,60.416279069767455,27.200000000000003,0.0,0.30000000000000004,5e-05,6.530685588717461,-0.045756395382341,6.572290614247322,0.38773274,0.01383795845322311,0.5947682317346334,0.0
1206.0,1206.0,1206.0,10000.0,0,1,64000,False,6,16,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-04-55,1618139095,27.380945444107056,458.5752601623535,703,285e2a0aa751,172.28.0.2,458.5752601623535,0,16,9a92d_00000,[1206.0],[10000],11640.048,343.641,16730.524,239.084,3.845,64000,64000,60.830769230769235,27.200000000000006,0.0,0.30000000000000004,5e-05,6.650877922773361,-0.04646028735442087,6.693368226289749,0.45379594,0.01323325332487002,0.602821184322238,0.0
1206.0,1206.0,1206.0,10000.0,0,1,68000,False,6,17,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-05-24,1618139124,28.106715440750122,486.68197560310364,703,285e2a0aa751,172.28.0.2,486.68197560310364,0,17,9a92d_00000,[1206.0],[10000],11482.359,348.36,16819.486,237.819,3.906,68000,68000,60.67,27.2,0.0,0.30000000000000004,5e-05,9.555057376623154,-0.05183286051033065,9.602611541748047,0.43842214,0.014262307522585616,0.5859877895563841,0.0
968.0,968.0,968.0,10000.0,1,1,72000,False,7,18,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-05-51,1618139151,27.145015716552734,513.8269913196564,703,285e2a0aa751,172.28.0.2,513.8269913196564,0,18,9a92d_00000,[968.0],[10000],11484.613,348.292,16747.312,238.844,3.829,72000,72000,60.499999999999986,27.200000000000006,0.0,0.30000000000000004,5e-05,7.3569968193769455,-0.036553226644173265,7.389404073357582,0.34649518,0.013819950690958649,0.5647237338125706,0.0
968.0,968.0,968.0,10000.0,0,1,76000,False,7,19,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-06-18,1618139178,27.45253324508667,541.279524564743,703,285e2a0aa751,172.28.0.2,541.279524564743,0,19,9a92d_00000,[968.0],[10000],11485.587,348.263,16779.175,238.391,3.648,76000,76000,60.96410256410256,27.200000000000006,0.0,0.30000000000000004,5e-05,5.495158396661282,-0.042402091377880424,5.534437149763107,0.52351606,0.010411036055302247,0.6293448135256767,0.0
1017.0,1017.0,1017.0,10000.0,1,1,80000,False,8,20,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-06-48,1618139208,29.613956689834595,570.8934812545776,703,285e2a0aa751,172.28.0.2,570.8934812545776,0,20,9a92d_00000,[1017.0],[10000],11702.92,341.795,16737.023,238.991,3.668,80000,80000,61.3813953488372,27.200000000000003,0.0,0.30000000000000004,5e-05,9.066749423742294,-0.04689622751902789,9.110307544469833,0.44253725,0.011126805504318327,0.45552994403988123,0.0
1017.0,1017.0,1017.0,10000.0,0,1,84000,False,8,21,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-07-17,1618139237,29.32231307029724,600.2157943248749,703,285e2a0aa751,172.28.0.2,600.2157943248749,0,21,9a92d_00000,[1017.0],[10000],11875.018,336.842,16628.877,240.545,3.428,84000,84000,60.12142857142857,27.200000000000003,0.0,0.30000000000000004,5e-05,7.489281624555588,-0.04472869954770431,7.529721900820732,0.2109706,0.014294842112576589,0.43898359686136246,0.0
1017.0,1017.0,1017.0,10000.0,0,1,88000,False,8,22,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-07-49,1618139269,31.97601008415222,632.1918044090271,703,285e2a0aa751,172.28.0.2,632.1918044090271,0,22,9a92d_00000,[1017.0],[10000],12243.672,326.699,16578.648,241.274,3.422,88000,88000,60.85333333333334,27.200000000000006,0.0,0.30000000000000004,5e-05,7.0817461013793945,-0.04959596192929894,7.127750813961029,0.22608642,0.011970554012805223,0.43080924078822136,0.0
1541.0,1541.0,1541.0,10000.0,1,1,92000,False,9,23,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-08-20,1618139300,30.840089559555054,663.0318939685822,703,285e2a0aa751,172.28.0.2,663.0318939685822,0,23,9a92d_00000,[1541.0],[10000],12405.809,322.43,16591.03,241.094,3.355,92000,92000,60.03181818181818,27.200000000000003,0.0,0.30000000000000004,5e-05,5.320184528827667,-0.04077766777481884,5.357764184474945,0.18648759,0.010660147585440427,0.4045727429911494,0.0
1541.0,1541.0,1541.0,10000.0,0,1,96000,False,9,24,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-08-50,1618139330,29.91785740852356,692.9497513771057,703,285e2a0aa751,172.28.0.2,692.9497513771057,0,24,9a92d_00000,[1541.0],[10000],12578.832,317.995,16598.058,240.992,3.411,96000,96000,60.7860465116279,27.200000000000003,0.0,0.30000000000000004,5e-05,8.943759471178055,-0.04705158207798377,8.987206891179085,0.3188768,0.012013473198749125,0.4198119593784213,0.0
1583.0,1583.0,1583.0,10000.0,1,1,100000,False,10,25,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-09-17,1618139357,27.3733971118927,720.3231484889984,703,285e2a0aa751,172.28.0.2,720.3231484889984,0,25,9a92d_00000,[1583.0],[10000],12368.778,323.395,16531.39,241.964,3.364,100000,100000,60.58205128205127,27.200000000000006,0.0,0.30000000000000004,5e-05,10.0273517370224,-0.041203481785487384,10.065028503537178,0.46576858,0.0117561479419237,0.404877508059144,0.0
1583.0,1583.0,1583.0,10000.0,0,1,104000,False,10,26,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-09-45,1618139385,27.604644536972046,747.9277930259705,703,285e2a0aa751,172.28.0.2,747.9277930259705,0,26,9a92d_00000,[1583.0],[10000],12321.349,324.64,16602.21,240.932,3.389,104000,104000,60.95250000000001,27.2,0.0,0.30000000000000004,5e-05,8.89398393034935,-0.043789598043076694,8.934051126241684,0.41706294,0.012408702532411553,0.44555758871138096,0.0
1583.0,1583.0,1583.0,10000.0,0,1,108000,False,10,27,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-10-12,1618139412,26.780216932296753,774.7080099582672,703,285e2a0aa751,172.28.0.2,774.7080099582672,0,27,9a92d_00000,[1583.0],[10000],12303.195,325.119,16487.813,242.603,3.34,108000,108000,59.978947368421046,27.200000000000003,0.0,0.30000000000000004,5e-05,11.637857586145401,-0.049065956933191046,11.682959496974945,0.45718285,0.013213861995609477,0.44905713200569153,0.0
