episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
846.0,846.0,846.0,10000.0,0,1,44000,False,4,11,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-01-26,1618138886,22.51768398284912,228.24690961837769,792,24fef9483094,172.28.0.2,228.24690961837769,0,11,aa3c4_00000,[846.0],[10000],9006.778,444.11,11472.044,348.674,2.858,44000,44000,57.193749999999994,27.0,0.0,0.2,5e-05,5.793027326464653,-0.04539086122531444,5.835601359605789,0.13927594,0.014084467315115035,0.5907111940905452,0.0
846.0,846.0,846.0,10000.0,0,1,48000,False,4,12,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-01-46,1618138906,19.88432550430298,248.13123512268066,792,24fef9483094,172.28.0.2,248.13123512268066,0,12,aa3c4_00000,[846.0],[10000],8886.79,450.106,11466.923,348.829,2.939,48000,48000,57.41724137931035,27.0,0.0,0.2,5e-05,6.348502069711685,-0.04014261130942032,6.385705754160881,0.31367058,0.014694798010168597,0.595413139089942,0.0
1202.0,1202.0,1202.0,10000.0,1,1,52000,False,5,13,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-02-06,1618138926,20.70651626586914,268.8377513885498,792,24fef9483094,172.28.0.2,268.8377513885498,0,13,aa3c4_00000,[1202.0],[10000],8990.23,444.927,11452.479,349.269,2.957,52000,52000,57.59310344827587,27.0,0.0,0.2,5e-05,4.989076338708401,-0.03644733809051104,5.02240090072155,0.32787216,0.015613981668138877,0.5700529366731644,0.0
1202.0,1202.0,1202.0,10000.0,0,1,56000,False,5,14,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-02-25,1618138945,19.16359806060791,288.0013494491577,792,24fef9483094,172.28.0.2,288.0013494491577,0,14,aa3c4_00000,[1202.0],[10000],8847.515,452.104,11454.56,349.206,3.494,56000,56000,56.921428571428564,27.0,0.0,0.2,5e-05,6.1531940549612045,-0.040389461209997535,6.190559059381485,0.4914298,0.01512217553681694,0.6173765622079372,0.0
963.0,963.0,963.0,10000.0,1,1,60000,False,6,15,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-02-46,1618138966,19.98632001876831,307.987669467926,792,24fef9483094,172.28.0.2,307.987669467926,0,15,aa3c4_00000,[963.0],[10000],8824.822,453.267,11461.616,348.991,3.532,60000,60000,57.417857142857144,27.0,0.0,0.2,5e-05,6.729657754302025,-0.051730853389017284,6.778823256492615,0.4332956,0.012826073740143329,0.5521382465958595,0.0
963.0,963.0,963.0,10000.0,0,1,64000,False,6,16,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-03-07,1618138987,21.116121530532837,329.10379099845886,792,24fef9483094,172.28.0.2,329.10379099845886,0,16,aa3c4_00000,[963.0],[10000],8894.001,449.741,11457.707,349.11,3.532,64000,64000,57.06333333333335,27.0,0.0,0.2,5e-05,5.526083782315254,-0.041210604074876755,5.564537733793259,0.3634769,0.013782773312414065,0.49148104526102543,0.0
963.0,963.0,963.0,10000.0,0,1,68000,False,6,17,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-03-27,1618139007,20.123663663864136,349.227454662323,792,24fef9483094,172.28.0.2,349.227454662323,0,17,aa3c4_00000,[963.0],[10000],8893.906,449.746,11441.0,349.62,3.541,68000,68000,57.46206896551725,27.0,0.0,0.2,5e-05,7.320967644453049,-0.042204186553135514,7.360327646136284,0.36588752,0.014221189863746986,0.5228426428511739,0.0
1297.0,1297.0,1297.0,10000.0,1,1,72000,False,7,18,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-03-48,1618139028,21.41817283630371,370.6456274986267,792,24fef9483094,172.28.0.2,370.6456274986267,0,18,aa3c4_00000,[1297.0],[10000],9103.368,439.398,11436.171,349.767,3.543,72000,72000,56.9225806451613,27.0,0.0,0.2,5e-05,5.198857247829437,-0.0466746311285533,5.242564678192139,0.3406825,0.014836053509498015,0.47784400824457407,0.0
1297.0,1297.0,1297.0,10000.0,0,1,76000,False,7,19,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-04-10,1618139050,21.56158447265625,392.20721197128296,792,24fef9483094,172.28.0.2,392.20721197128296,0,19,aa3c4_00000,[1297.0],[10000],9283.468,430.873,11440.868,349.624,3.578,76000,76000,57.30322580645161,27.0,0.0,0.2,5e-05,6.273877799510956,-0.04306337528396398,6.314169704914093,0.43419868,0.013857244164682925,0.4808381861075759,0.0
1394.0,1394.0,1394.0,10000.0,1,1,80000,False,8,20,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-04-32,1618139072,22.35212516784668,414.55933713912964,792,24fef9483094,172.28.0.2,414.55933713912964,0,20,aa3c4_00000,[1394.0],[10000],9432.689,424.057,11440.822,349.625,3.584,80000,80000,57.090625,27.0,0.0,0.2,5e-05,6.169224292039871,-0.04041759279789403,6.2070499658584595,0.3441096,0.012959855113876984,0.4064915245398879,0.0
1394.0,1394.0,1394.0,10000.0,0,1,84000,False,8,21,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-04-54,1618139094,21.304789543151855,435.8641266822815,792,24fef9483094,172.28.0.2,435.8641266822815,0,21,aa3c4_00000,[1394.0],[10000],9311.411,429.58,11440.835,349.625,3.512,84000,84000,57.18666666666666,27.013333333333332,0.0,0.2,5e-05,5.6344607919454575,-0.038341944746207446,5.670141741633415,0.33318943,0.013304932654136792,0.44613551441580057,0.0
1394.0,1394.0,1394.0,10000.0,0,1,88000,False,8,22,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-05-13,1618139113,19.86811089515686,455.73223757743835,792,24fef9483094,172.28.0.2,455.73223757743835,0,22,aa3c4_00000,[1394.0],[10000],9304.397,429.904,11446.25,349.459,3.426,88000,88000,57.5,27.0,0.0,0.2,5e-05,8.168655782938004,-0.04370638812542893,8.209612876176834,0.48070347,0.013746459182584658,0.45562698505818844,0.0
1346.0,1346.0,1346.0,10000.0,1,1,92000,False,9,23,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-05-35,1618139135,21.406429529190063,477.1386671066284,792,24fef9483094,172.28.0.2,477.1386671066284,0,23,aa3c4_00000,[1346.0],[10000],9364.029,427.167,11456.513,349.146,3.394,92000,92000,57.18387096774193,27.003225806451614,0.0,0.2,5e-05,5.835956186056137,-0.042985763459000736,5.876070439815521,0.21045533,0.014356975065311417,0.37786174286156893,0.0
1346.0,1346.0,1346.0,10000.0,0,1,96000,False,9,24,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-05-55,1618139155,19.759960174560547,496.89862728118896,792,24fef9483094,172.28.0.2,496.89862728118896,0,24,aa3c4_00000,[1346.0],[10000],9421.338,424.568,11459.096,349.068,2.845,96000,96000,57.767857142857146,27.0,0.0,0.2,5e-05,7.652484238147736,-0.03162722405977547,7.681572154164314,0.45072043,0.012696281861281022,0.4314675275236368,0.0
1315.0,1315.0,1315.0,10000.0,1,1,100000,False,10,25,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-06-14,1618139174,19.483295917510986,516.3819231987,792,24fef9483094,172.28.0.2,516.3819231987,0,25,aa3c4_00000,[1315.0],[10000],9361.617,427.277,11468.387,348.785,2.801,100000,100000,57.31428571428571,27.0,0.0,0.2,5e-05,8.750191554427147,-0.04370749869849533,8.791194573044777,0.4577381,0.013522857305360958,0.44528941437602043,0.0
