episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
883.0,883.0,883.0,10000.0,0,1,44000,False,4,11,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-01-05,1618138865,20.06944966316223,218.0635426044464,751,185d2eeac0d1,172.28.0.2,218.0635426044464,0,11,a4e1f_00000,[883.0],[10000],7967.098,502.065,11589.564,345.138,2.816,44000,44000,57.265517241379314,26.94482758620689,0.0,0.30000000000000004,5e-05,5.642952382564545,-0.033176073571667075,5.672663226723671,0.5276918,0.01155048658256419,0.7210626471787691,0.0
883.0,883.0,883.0,10000.0,0,1,48000,False,4,12,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-01-25,1618138885,19.98800301551819,238.0515456199646,751,185d2eeac0d1,172.28.0.2,238.0515456199646,0,12,a4e1f_00000,[883.0],[10000],8101.397,493.742,11579.351,345.443,2.862,48000,48000,57.675000000000004,26.90357142857142,0.0,0.30000000000000004,5e-05,4.398096218705177,-0.04725537437479943,4.441354371607304,0.31115445,0.013324216386536136,0.6944810692220926,0.0
903.0,903.0,903.0,10000.0,1,1,52000,False,5,13,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-01-44,1618138904,19.213594436645508,257.2651400566101,751,185d2eeac0d1,172.28.0.2,257.2651400566101,0,13,a4e1f_00000,[903.0],[10000],8145.132,491.091,11583.955,345.305,2.901,52000,52000,56.69285714285716,26.899999999999995,0.0,0.30000000000000004,5e-05,7.864661455154419,-0.04959203797625378,7.91008198261261,0.4944927,0.013905474363127723,0.7180042676627636,0.0
903.0,903.0,903.0,10000.0,0,1,56000,False,5,14,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-02-05,1618138925,20.620428323745728,277.88556838035583,751,185d2eeac0d1,172.28.0.2,277.88556838035583,0,14,a4e1f_00000,[903.0],[10000],8278.367,483.187,11584.994,345.274,2.892,56000,56000,57.43103448275861,26.89999999999999,0.0,0.30000000000000004,5e-05,5.741260543465614,-0.04476650938158855,5.78152921050787,0.24580085,0.014993030286859721,0.6039386559277773,0.0
1210.0,1210.0,1210.0,10000.0,1,1,60000,False,6,15,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-02-26,1618138946,20.974477767944336,298.86004614830017,751,185d2eeac0d1,172.28.0.2,298.86004614830017,0,15,a4e1f_00000,[1210.0],[10000],8480.573,471.666,11585.487,345.26,2.903,60000,60000,57.46,26.89999999999999,0.0,0.30000000000000004,5e-05,4.42297188937664,-0.044602251262404025,4.463446848094463,0.25025544,0.013757613662164658,0.5412063719704747,0.0
1210.0,1210.0,1210.0,10000.0,0,1,64000,False,6,16,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-02-48,1618138968,21.96542477607727,320.82547092437744,751,185d2eeac0d1,172.28.0.2,320.82547092437744,0,16,a4e1f_00000,[1210.0],[10000],8742.344,457.543,11584.977,345.275,3.117,64000,64000,56.98125,26.9,0.0,0.30000000000000004,5e-05,6.3510124534368515,-0.04037311163847335,6.387819334864616,0.37846586,0.011887290398590267,0.5212476570159197,0.0
1210.0,1210.0,1210.0,10000.0,0,1,68000,False,6,17,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-03-09,1618138989,21.153207063674927,341.97867798805237,751,185d2eeac0d1,172.28.0.2,341.97867798805237,0,17,a4e1f_00000,[1210.0],[10000],8978.402,445.514,11588.78,345.161,3.192,68000,68000,57.306666666666665,26.89999999999999,0.0,0.30000000000000004,5e-05,6.487404927611351,-0.045911509660072625,6.52902127802372,0.5051153,0.014316866145236418,0.5597499748691916,0.0
1235.0,1235.0,1235.0,10000.0,1,1,72000,False,7,18,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-03-31,1618139011,21.720258712768555,363.6989367008209,751,185d2eeac0d1,172.28.0.2,363.6989367008209,0,18,a4e1f_00000,[1235.0],[10000],9183.8,435.55,11586.575,345.227,3.268,72000,72000,57.64193548387097,26.89999999999999,0.0,0.30000000000000004,5e-05,5.560584262013435,-0.0481897474383004,5.604808196425438,0.3015382,0.013219344371464103,0.5103967851027846,0.0
1235.0,1235.0,1235.0,10000.0,0,1,76000,False,7,19,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-03-50,1618139030,19.731831550598145,383.43076825141907,751,185d2eeac0d1,172.28.0.2,383.43076825141907,0,19,a4e1f_00000,[1235.0],[10000],9070.415,440.994,11580.731,345.401,3.35,76000,76000,56.771428571428565,26.899999999999995,0.0,0.30000000000000004,5e-05,7.661082208156586,-0.041223485459340736,7.698498234152794,0.35661376,0.012691858952166513,0.5044017685577273,0.0
1322.0,1322.0,1322.0,10000.0,1,1,80000,False,8,20,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-04-11,1618139051,20.72437310218811,404.1551413536072,751,185d2eeac0d1,172.28.0.2,404.1551413536072,0,20,a4e1f_00000,[1322.0],[10000],9019.814,443.468,11585.732,345.252,3.394,80000,80000,57.150000000000006,26.94,0.0,0.30000000000000004,5e-05,5.957860291004181,-0.03953860094770789,5.992296352982521,0.46669206,0.01700860750861466,0.49584907572716475,0.0
